Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign ,Audience,
NAM,US,The Lead Summit ,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000Fm1PiYAJ/view,Event-Tradeshow | PC - 20240708 | The Lead Summit,7/9/2024,7/10/2024,External,Event-Tradeshow,,,,
NAM,US,NYC Summer Happy Hour,https://impactradius.lightning.force.com/lightning/r/Dashboard/01ZK50000004cQfMAI/view,Event-Hosted | PC - 20240508 | NYC VIP Happy Hour,7/29/2024,7/29/2024,Impact.com Hosted,Event-Hosted,"$22,500","$17,744",Affiliate/Partnerships,
NAM,US,Masterclassing Creator: New York,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000LVVjVYAX/view,Event - Tradeshow | PC - 20251119 | Masterclassing Creator: New York,11/19/2024,11/19/2024,External,Event-Tradeshow,"$7,000","$7,000",Influencer,
NAM,US,Marketing Dive - The Influencer + Affiliate Form,,Event-Webinar | 20241015 | Marketing Dive - The Influencer + Affiliate Form,,,Impact.com Hosted,Event-Hosted,,,,
NAM,US,Affiliate Summit West 2025,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000KsO6iYAF/view,Event-Tradeshow | PC - 20250203 | ASW 2025 (Affiliate Summit West),2/3/2025,2/5/2025,External,Event-Tradeshow,"$35,000","$32,676",Affiliate/Partnerships,
NAM,US,Partnerships IRL: Brooklyn,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000HqE0RYAV/view,Event-Hosted | PC - 20241009 | Partnerships IRL: Brooklyn,10/9/2024,10/9/2024,Impact.com Hosted,Event-Hosted,"$38,000","$36,289",Influencer,
NAM,US,Vegas VIP Dinner,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000Kaw8UYAR/view,Event-Hosted | PC - 20241028 | Las Vegas VIP Dinner,10/28/2024,10/28/2024,Impact.com Hosted,Event-Hosted,"$22,000","$21,057",Affiliate/Partnerships,
NAM,US,TopGolf Happy Hour 2025,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000LfVlJYAV/view,Event-Hosted | PC - 20250204 | TopGolf Happy Hour,2/4/2025,2/5/2025,Impact.com Hosted,Event-Hosted,"$110,000","$103,919",,
NAM,US,The Future of impact.com for Publishers,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000MIFC8YAP/view,Event-Hosted | PC - 20250204 | The Future of impact for Publishers,2/4/2025,2/4/2025,Impact.com Hosted,Event-Hosted,N/A,N/A,Publishers,
NAM,US,PI Live USA,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000PO6U5YAL/view,Event-Tradeshow | PC - 20250422 | PI Live USA,4/22/2025,4/25/2025,External,Event-Tradeshow,"$21,000","$18,306",Affiliate/Partnerships,
NAM,US,VIP Dinner in Boston,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000PVdegYAD/view,Event-Hosted | PC - 20250326 | VIP Dinner in Boston,3/26/2025,3/26/2025,Impact.com Hosted,Event-Hosted,"$22,000","$6,421",,
NAM,US,iPX2025 Austin,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000KHf9lYAD/view,Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25),6/9/2025,9/11/2025,Impact.com Hosted,Event-Hosted,"$1,418,000",,,
NAM,US,Partnership Titans,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000SOQR4YAP/view,Event-Hosted | PC - 20251007 | Partnership Titans,10/6/2025,10/9/2025,,,$0,$0,,
EMEA,Germany,Digital Bash Affiliate,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000097DeIAI/view,Event-Webinar | 2023-02-28 | Digital Bash Affiliate,2/28/2023,2/28/2023,External,Event-Webinar,,,,TRUE
EMEA,France,LesBig Boss GMS & GSS,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098wCIAQ/view,Event-Tradeshow | PC - 20230308 | LesBigBoss - France,3/8/2023,3/8/2023,External,Event-Tradeshow,$0,$0,,TRUE
EMEA,Italy,Mediakey Awards night,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000099TIIAY/view,Event-Tradeshow | PC - 20230418 | Mediakey Awards night - Italy,4/17/2023,4/17/2023,External,Event-Tradeshow,"$2,000","$2,000",,TRUE
EMEA,France,"LesBig Boss Mode, Beauté & Luxe",https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009ADTIA2/view,Event-Tradeshow | PC - 20230308 | LesBigBoss - France,3/21/2023,3/21/2023,External,Event-Tradeshow,"$3,237","$3,237",,TRUE
EMEA,France,LesBig Boss Opus Summer,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009FPAIA2/view,Event-Tradeshow | PC - 20230609 | LesBigBoss - France,6/9/2023,6/11/2023,External,Event-Tradeshow,"$25,694","$25,694",,TRUE
EMEA,Italy,Web marketing Festival - We make future,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000099pkIAA/view,Event-Tradeshow | PC - 20230615 | WMF Rimini - Italy,6/15/2023,6/17/2023,External,Event-Tradeshow,"$12,000","$12,000",,TRUE
EMEA,Italy,Netcomm Forum,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098tgIAA/view,Event-Tradeshow | PC - 20230517 | Netcomm Forum - Italy,5/17/2023,5/18/2023,External,Event-Tradeshow,"$25,000","$26,115",,TRUE
EMEA,Germany,Digital Bash Affiliate,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000097DeIAI/view,Event-Webinar | 2023-02-28 | Digital Bash Affiliate,2/28/2023,2/28/2023,External,Event-Webinar,,,Affiliate/Partnerships,TRUE
EMEA,Germany,OMR23,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098SrIAI/view,Event-Tradeshow | 2023-05-09 | impact.com at OMR23,5/9/2023,5/10/2023,External,Event-Tradeshow,,,,TRUE
EMEA,France,Opening Party,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009BJCIA2/view,Event-Hosted | 2023-05-25 | arrive en France,5/25/2023,5/25/2023,Impact.com Hosted,Event-Hosted Splash,"$10,000","$10,232",,TRUE
EMEA,Italy,Own The City,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009A7CIAU/view,Event-Hosted | 2023-04-17 | Design week exclusive experience & aperitivo,4/17/2023,4/17/2023,Impact.com Hosted,Event-Hosted Splash,"$2,000","$2,000",,TRUE
EMEA,Germany,Exklusives Whisky-Tasting mit impact.com,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098hiIAA/view,Event-Hosted | 2023-03-23 | Exklusives Whisky-Tasting mit impact.com,3/23/2023,3/23/2023,Impact.com Hosted,Event-Hosted,,,Affiliate/Partnerships,TRUE
EMEA,UK,Performance Marketing World,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000096TWIAY/view,Event-Tradeshow | PC - 20230301 | PMW Unlocked - London,3/1/2023,3/2/2023,External,Event-Tradeshow,"$18,000","$19,766",,TRUE
EMEA,UK,Leaders in Mobile Growth Summit,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000096TgIAI/view,Event-Tradeshow | PC - 20230209 | Leaders in Mobile Growth Summit - London,,7/2/2023,External,Event-Tradeshow,"$3,767","$3,767",,TRUE
EMEA,UK,AffiliateHuddle,https://impactradius.lightning.force.com/lightning/r/Campaign/701K5000000982IIAQ/view,Event-Tradeshow | PC - 20230419 | AffiliateHuddle UK,4/19/2023,4/19/2023,External,Event-Tradeshow,"$32,000","$26,308",Affiliate/Partnerships,TRUE
EMEA,UK,Own The City,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009APLIA2/view,Event-Hosted | PC - 20230427 | Own The City - London,4/27/2023,4/27/2023,Impact.com Hosted,Event-Hosted,"$2,000","$1,760",,TRUE
