Date,Amount spent,Impressions,Link clicks,CTR (link click-through rate),CPM,CPC (link),On-Facebook leads,Cost per on-Facebook lead,Website conversions,Frequency
"Feb 4, 2025",1767.0500000000002,77220,349,0.0045195545195545195,22.883320383320385,5.063180515759313,64,27.610156250000003,52,null
"Feb 3, 2025",1822.89,90495,366,0.004044422343775899,20.14354384220123,4.980573770491803,58,31.429137931034486,68,null
"Feb 2, 2025",1875.99,79329,348,0.004386794236659985,23.648224482849905,5.390775862068965,75,25.0132,48,null
"Feb 1, 2025",1750.8,70603,355,0.00502811495262241,24.79781312408821,4.931830985915493,75,23.343999999999998,58,null
"Jan 31, 2025",1744.65,65055,310,0.004765198678041657,26.818077011759282,5.627903225806452,82,21.276219512195123,47,null
"Jan 30, 2025",1619.08,60589,294,0.004852365941012395,26.72234233936853,5.507074829931972,74,21.879459459459458,71,null
"Jan 29, 2025",1626.1999999999998,57875,314,0.00542548596112311,28.09848812095032,5.178980891719744,89,18.27191011235955,60,null
"Jan 28, 2025",1613.74,63871,311,0.004869189460005323,25.265613502215405,5.18887459807074,62,26.02806451612903,74,null
"Jan 27, 2025",1711.0499999999997,70299,342,0.004864934067340929,24.339606537788583,5.003070175438595,76,22.513815789473682,47,null
"Jan 26, 2025",1743.38,64558,308,0.004770903683509403,27.00486384336566,5.660324675324675,67,26.020597014925375,51,null
"Jan 25, 2025",1588.25,60190,302,0.005017444758265492,26.387273633493937,5.2591059602649,67,23.705223880597014,46,null
"Jan 24, 2025",1619.57,59563,318,0.005338884878196196,27.190873528868593,5.092987421383648,71,22.810845070422534,49,null
"Jan 23, 2025",1640.36,85211,393,0.004612080599922545,19.2505662414477,4.173944020356234,73,22.47068493150685,47,null
"Jan 22, 2025",1725.0599999999997,99851,462,0.004626894072167529,17.276341749206317,3.7338961038961034,63,27.381904761904757,68,null
"Jan 21, 2025",1673.9799999999998,100330,398,0.003966909199641184,16.684740356822484,4.205979899497487,55,30.435999999999996,59,null
"Jan 20, 2025",1702.45,98087,411,0.0041901577171286715,17.356530427069846,4.142214111922141,59,28.855084745762714,57,null
"Jan 19, 2025",1713.6899999999998,90615,430,0.004745351211168129,18.911769574573746,3.9853255813953483,60,28.5615,59,null
"Jan 18, 2025",1591.47,82611,409,0.004950914527121085,19.264625776228346,3.8911246943765283,47,33.861063829787234,43,null
"Jan 17, 2025",1601.7299999999998,76021,434,0.005708948843082832,21.069572881177567,3.690622119815668,80,20.021624999999997,54,null
"Jan 16, 2025",1621.2700000000002,71135,372,0.005229493217122373,22.79145287130105,4.358252688172043,53,30.590000000000003,49,null
"Jan 15, 2025",1665.9899999999998,80485,373,0.004634403926197428,20.699384978567434,4.4664611260053615,65,25.630615384615382,61,null
"Jan 14, 2025",1737.2,92819,400,0.004309462502289402,18.715995647442874,4.343,58,29.951724137931034,58,null
"Jan 13, 2025",1827.17,91246,387,0.004241281809613572,20.024658615172175,4.721369509043928,58,31.50293103448276,67,null
"Jan 12, 2025",1954.5600000000002,96899,401,0.004138329600924674,20.171105996965913,4.874214463840399,68,28.743529411764708,45,null
"Jan 11, 2025",2078.7100000000005,102517,496,0.004838221953432114,20.27673459036063,4.190947580645163,83,25.04469879518073,25,null
"Jan 10, 2025",2035.9600000000003,84405,406,0.004810141579290326,24.121319827024468,5.014679802955666,71,28.67549295774648,42,null
"Jan 9, 2025",1993.48,79743,348,0.004364019412362213,24.998808672861568,5.7283908045977014,59,33.787796610169494,33,null
"Jan 8, 2025",2026.5200000000002,73112,349,0.004773498194550826,27.71802166539009,5.806647564469914,75,27.020266666666668,40,null
"Jan 7, 2025",2098.8199999999997,69621,398,0.005716665948492553,30.146363884460143,5.273417085427135,67,31.32567164179104,46,null
"Jan 6, 2025",2163.99,73341,437,0.005958467978347718,29.50586984088027,4.951922196796338,86,25.16267441860465,67,null
"Jan 5, 2025",500.21999999999997,25589,185,0.007229668998397749,19.548243385829846,2.703891891891892,20,25.011,55,null
"Jan 4, 2025",455.09000000000003,24087,170,0.007057748993232864,18.893594054884378,2.677,21,21.670952380952382,47,null
"Jan 3, 2025",446.71999999999997,22294,136,0.006100296043778595,20.037678299093926,3.284705882352941,20,22.336,54,null
"Jan 2, 2025",484.26,23718,162,0.006830255502150265,20.417404502909182,2.989259259259259,21,23.06,61,null
"Jan 1, 2025",480.96000000000004,26884,195,0.007253384912959381,17.890194911471507,2.4664615384615387,24,20.040000000000003,60,null
"Dec 31, 2024",517.1999999999999,25004,168,0.006718924972004479,20.684690449528073,3.0785714285714283,16,32.324999999999996,50,null
"Dec 30, 2024",554.78,24482,142,0.0058001797238787685,22.660730332489177,3.906901408450704,16,34.67375,48,null
"Dec 29, 2024",528.36,22159,158,0.007130285662710411,23.84403628322578,3.3440506329113924,25,21.1344,52,null
"Dec 28, 2024",458.85,20784,135,0.0064953810623556586,22.077078521939956,3.398888888888889,18,25.491666666666667,41,null
"Dec 27, 2024",500.45000000000005,21996,157,0.007137661392980542,22.751863975268233,3.187579617834395,14,35.746428571428574,37,null
"Dec 26, 2024",514.04,24198,166,0.006860071080254567,21.243077940325648,3.096626506024096,14,36.71714285714285,54,null
"Dec 25, 2024",523.16,22225,187,0.008413948256467942,23.5392575928009,2.797647058823529,15,34.87733333333333,46,null
"Dec 24, 2024",489.34,18060,177,0.009800664451827243,27.09523809523809,2.7646327683615817,18,27.185555555555553,51,null
"Dec 23, 2024",543.14,19577,153,0.007815293456607243,27.743780967461817,3.5499346405228756,17,31.949411764705882,49,null
"Dec 22, 2024",545.4,18789,189,0.01005907711959125,29.02762254510618,2.8857142857142857,15,36.36,42,null
"Dec 21, 2024",594.44,18046,352,0.019505707636041227,32.94026377036462,1.6887500000000002,21,28.30666666666667,54,null
"Dec 20, 2024",1292.15,35243,397,0.011264648298952984,36.66401838662997,3.2547858942065493,29,44.556896551724144,42,null
"Dec 19, 2024",1810.5199999999998,59114,417,0.007054166525696112,30.627600906722602,4.341774580335731,57,31.76350877192982,45,null
"Dec 18, 2024",1836.4499999999998,55353,318,0.005744946073383556,33.177063573790036,5.7749999999999995,53,34.65,47,null
"Dec 17, 2024",1821.4,61596,328,0.005325021105266576,29.570101954672385,5.5530487804878055,46,39.595652173913045,44,null
"Dec 16, 2024",1990.49,60624,361,0.005954737397730272,32.83336632356822,5.5138227146814405,57,34.92087719298246,51,null
"Dec 15, 2024",2044.04,62587,368,0.005879815297106428,32.6591784236343,5.55445652173913,59,34.644745762711864,52,null
"Dec 14, 2024",1762.2,58492,334,0.00571018258907201,30.127196881624837,5.276047904191617,54,32.63333333333333,28,null
"Dec 13, 2024",1773.63,56055,328,0.005851395950405852,31.64088841316564,5.407408536585367,53,33.46471698113208,35,null
"Dec 12, 2024",1819.58,55175,308,0.00558223833257816,32.97834164023561,5.907727272727272,45,40.43511111111111,66,null
"Dec 11, 2024",1712.19,52139,302,0.005792209286714359,32.838949730528014,5.669503311258278,49,34.94265306122449,58,null
"Dec 10, 2024",1775.47,57256,332,0.005798518932513623,31.009326533463742,5.347801204819278,61,29.106065573770493,62,null
"Dec 9, 2024",1877.3999999999999,65216,347,0.005320780176643768,28.78741413150147,5.410374639769452,60,31.29,69,null
"Dec 8, 2024",1954.3799999999999,65991,424,0.006425118576775621,29.61585670773287,4.60938679245283,42,46.53285714285714,77,null
"Dec 7, 2024",1574.66,56580,329,0.005814775539059738,27.830682219865675,4.786200607902736,41,38.406341463414634,18,null
"Dec 6, 2024",1671.0799999999995,61533,329,0.00534672452180131,27.157460224594924,5.079270516717323,51,32.766274509803914,37,null
"Dec 5, 2024",1678.26,59033,334,0.005657852387647587,28.429183676926463,5.024730538922156,47,35.70765957446808,38,null
"Dec 4, 2024",1763.0900000000001,57093,326,0.005709981959259454,30.881018688805984,5.408251533742332,40,44.07725000000001,40,null
"Dec 3, 2024",1823.8600000000001,53459,300,0.005611777249855029,34.11698684973531,6.079533333333334,41,44.48439024390244,28,null
"Dec 2, 2024",1842.44,49468,239,0.0048314061615589874,37.245087733484276,7.7089539748953975,30,61.41466666666667,35,null
"Dec 1, 2024",1925.4299999999998,50809,306,0.006022555059143065,37.89545159322167,6.292254901960784,57,33.77947368421052,27,null
"Nov 30, 2024",1618.0600000000002,45393,285,0.006278501090476505,35.6455841208997,5.67740350877193,58,27.897586206896555,22,null
"Nov 29, 2024",1673.79,41080,258,0.0062804284323271665,40.744644595910415,6.487558139534883,55,30.432545454545455,23,null
"Nov 28, 2024",1685.9299999999998,42688,232,0.005434782608695652,39.494237256371804,7.266939655172413,40,42.14825,15,null
"Nov 27, 2024",1747.9599999999998,46364,276,0.005952894487102062,37.70080234664826,6.333188405797101,46,37.99913043478261,22,null
"Nov 26, 2024",1781.18,49319,254,0.005150144974553418,36.11549301486243,7.01251968503937,43,41.42279069767442,38,null
"Nov 25, 2024",1930.6900000000003,51821,318,0.006136508365334517,37.256903571911,6.071352201257863,51,37.85666666666667,33,null
"Nov 24, 2024",1975.24,51618,351,0.006799953504591422,38.26649618350188,5.6274643874643875,60,32.92066666666667,30,null
"Nov 23, 2024",1655.4,45804,298,0.0065059820103047766,36.14094838878701,5.55503355704698,52,31.834615384615386,22,null
"Nov 22, 2024",1716.5800000000002,45075,265,0.005879090404880754,38.08275097060455,6.477660377358491,54,31.788518518518522,36,null
"Nov 21, 2024",1758.12,50064,297,0.005932406519654842,35.11744966442953,5.919595959595959,67,26.24059701492537,40,null
"Nov 20, 2024",1794.2500000000002,50199,282,0.005617641785692942,35.742743879360155,6.362588652482271,54,33.226851851851855,39,null
"Nov 19, 2024",1794.9299999999996,50904,292,0.005736287914505736,35.2610796793965,6.147020547945204,55,32.6350909090909,42,null
"Nov 18, 2024",1917.76,53322,285,0.005344885788229999,35.965642699073555,6.728982456140351,62,30.931612903225805,46,null
"Nov 17, 2024",1976.85,53948,343,0.006357974345666197,36.6436197820123,5.763411078717201,65,30.413076923076922,61,null
"Nov 16, 2024",1653.01,47440,289,0.006091905564924114,34.84422428330522,5.719757785467128,48,34.43770833333333,40,null
"Nov 15, 2024",1682.6200000000003,48296,256,0.005300646016233228,34.83973828060295,6.572734375000001,39,43.144102564102575,42,null
"Nov 14, 2024",1803.48,49480,321,0.006487469684721099,36.44866612772837,5.618317757009346,70,25.764,34,null
"Nov 13, 2024",1880.89,53185,317,0.005960327159913509,35.36504653567735,5.933406940063092,63,29.855396825396827,51,null
