,model_week,date,iso_week,iso_year,ga4_sessions,podcast_streams,linkedin_spend,linkedin_impressions,linkedin_clicks,gSearch_sessions,gSearch_impressions,gift_spend,email_sent_cnt,email_delivered_cnt,email_opened_cnt,direct_spend,fb_spend,fb_impressions,fb_clicks,googleAds_spend,googleAds_impressions,event_spend,mql_count,impactDotCom_ga4_sessions,sum_content_download,sum_blog_subscribers,sum_newsletter_signup,month,daily_avg_queries,inflation_rate,durable_goods_rates,consumer_sentiment_index,averageMQL,smoothed_MQL
32,202420,2024-05-13,20,2024,241903.0,136.0,12905.490000000009,178712,1099,1289.0,34348.0,274.98,0.0,0.0,0.0,0.0,3226.82,242260.0,860.0,7429.83,104130.0,0.0,68,5571.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,74.5,68.0
33,202420,2024-05-14,20,2024,251668.0,135.0,13931.03,184076,1156,1268.0,35901.0,136.66,36699.0,35396.0,11874.0,0.0,3093.46,195740.0,780.0,7147.3,109160.0,0.0,131,4534.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,62.5,62.5
34,202420,2024-05-15,20,2024,256207.0,162.0,11214.13,147762,940,1199.0,36633.0,100.0,0.0,0.0,0.0,0.0,3027.5900000000006,196586.0,811.0,7745.72,106560.0,0.0,57,4817.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,113.0,57.0
35,202420,2024-05-16,20,2024,270031.0,520.0,11775.169999999998,157711,954,1199.0,36365.0,223.75,0.0,0.0,0.0,0.0,2988.3400000000006,193770.0,739.0,7219.42,100360.0,0.0,95,4658.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,53.5,95.0
36,202420,2024-05-17,20,2024,210655.0,1166.0,10544.669999999998,137318,879,946.0,33723.0,466.65,0.0,0.0,0.0,7950.0,2981.1800000000003,222058.0,794.0,5588.89,81291.0,0.0,50,4059.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,59.5,50.0
37,202420,2024-05-18,20,2024,99286.0,1246.0,8978.800000000005,107142,781,498.0,22234.0,0.0,0.0,0.0,0.0,0.0,2868.9999999999995,335414.0,911.0,3034.08,5538.0,0.0,24,4339.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,36.0,24.0
38,202420,2024-05-19,20,2024,122883.0,865.0,8424.509999999995,105311,738,496.0,25716.0,0.0,0.0,0.0,0.0,0.0,3164.87,654480.0,1432.0,3151.39,56260.0,0.0,22,4061.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,60.0,22.0
39,202421,2024-05-20,21,2024,249970.0,1706.0,10285.309999999994,132503,893,1226.0,37884.0,202.5,28015.0,26192.0,5313.0,0.0,3141.0899999999997,541492.0,1164.0,7451.8,101810.0,0.0,96,4814.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,49.5,96.0
40,202421,2024-05-21,21,2024,289179.0,3996.0,10778.040000000006,142379,917,1245.0,38563.0,580.03,0.0,0.0,0.0,0.0,3081.05,375497.0,1135.0,7812.33,99180.0,0.0,77,4895.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,76.5,77.0
41,202421,2024-05-22,21,2024,276388.0,2149.0,10990.100000000006,139025,934,1260.0,34917.0,425.0,403.0,395.0,285.0,0.0,3057.8799999999997,364999.0,1097.0,6395.05,97210.0,0.0,57,6406.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,62.5,57.0
42,202421,2024-05-23,21,2024,277188.0,1257.0,11382.670000000006,133993,920,1248.0,33825.0,400.0,0.0,0.0,0.0,0.0,3054.08,262138.0,1021.0,5516.53,86000.0,0.0,48,4656.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,46.5,48.0
43,202421,2024-05-24,21,2024,214821.0,1129.0,10191.599999999997,117848,804,907.0,30779.0,150.0,0.0,0.0,0.0,0.0,2954.49,183104.0,885.0,4375.24,74580.0,0.0,36,2945.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,32.0,36.0
44,202421,2024-05-25,21,2024,113679.0,1204.0,8118.399999999997,104266,736,520.0,25235.0,0.0,0.0,0.0,0.0,0.0,2925.8899999999994,266040.0,1108.0,2242.16,4844.0,0.0,16,2786.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,28.0,16.0
45,202421,2024-05-26,21,2024,130222.0,1133.0,8402.769999999993,106183,792,517.0,23938.0,0.0,0.0,0.0,0.0,0.0,3238.2900000000004,262815.0,1078.0,2327.61,45120.0,0.0,20,3540.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,38.5,20.0
46,202422,2024-05-27,22,2024,196712.0,1259.0,7565.96,89653,636,697.0,25353.0,0.0,0.0,0.0,0.0,0.0,3125.09,297365.0,1056.0,3880.58,57200.0,0.0,61,4777.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,44.0,61.0
47,202422,2024-05-28,22,2024,300849.0,1287.0,11859.55,148695,1059,1243.0,38660.0,175.53,0.0,0.0,0.0,0.0,3003.9199999999996,424398.0,1239.0,6157.89,93460.0,0.0,68,6923.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,56.5,68.0
48,202422,2024-05-29,22,2024,288733.0,1178.0,14047.719999999998,196132,1349,1205.0,35225.0,1183.2,46471.0,44647.0,10006.0,0.0,2975.380000000001,471372.0,1321.0,6146.68,97790.0,0.0,52,5769.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,58.5,52.0
49,202422,2024-05-30,22,2024,267365.0,852.0,12023.429999999998,181781,1297,1266.0,34378.0,50.0,0.0,0.0,0.0,0.0,2970.75,314057.0,1136.0,6384.5,91680.0,0.0,49,4536.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,47.5,49.0
50,202422,2024-05-31,22,2024,212025.0,834.0,13438.49999999999,180204,1192,978.0,29680.0,250.0,0.0,0.0,0.0,0.0,2941.64,297493.0,1126.0,5594.96,83600.0,0.0,43,3421.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,30.0,43.0
