lead_mql_date,cnt_all,cnt_Linkendin,cnt_qualified,cnt_bdr,cnt_sales_sourced,cnt_pharios,cnt_DC360
2024-07-11,48,12,0,0,0,0,2
2024-07-13,18,6,0,0,0,0,0
2024-11-26,55,14,3,0,0,0,0
2024-07-18,57,23,0,0,0,0,0
2024-07-20,20,12,0,0,0,0,0
2024-07-22,89,43,0,0,0,0,0
2024-07-25,57,28,0,0,0,0,0
2024-07-28,26,15,0,0,0,0,0
2024-07-30,91,28,0,0,0,0,0
2024-08-01,66,28,0,0,0,0,0
2024-08-05,64,16,0,0,0,0,0
2024-08-09,46,17,0,0,0,0,0
2024-08-12,102,57,0,0,0,0,0
2024-08-13,62,25,0,0,0,0,2
2024-08-14,74,27,3,0,0,0,0
2024-09-24,72,20,3,0,0,0,0
2024-08-17,27,13,0,0,0,0,0
2024-08-18,36,8,0,0,0,0,0
2024-08-19,122,17,6,0,0,0,22
2024-08-22,93,38,0,0,0,0,0
2024-08-24,34,18,0,0,0,0,0
2024-09-09,52,21,3,0,0,0,0
2024-08-30,44,15,0,0,0,0,0
2024-09-02,37,14,0,0,0,0,0
2024-09-03,80,43,0,0,0,0,1
2024-09-04,81,45,0,0,0,0,0
2024-09-06,204,20,6,0,0,145,0
2024-09-07,31,14,0,0,0,0,0
2024-09-10,76,29,4,0,0,0,0
2024-09-11,66,23,4,0,0,0,0
2024-09-19,57,25,1,0,0,0,0
2024-09-16,46,19,2,0,1,0,0
2024-09-26,73,32,3,0,0,1,0
2024-09-27,53,12,4,0,0,0,0
2024-09-29,34,8,0,0,0,0,0
2024-10-09,74,39,1,0,0,0,0
2024-09-30,48,20,1,0,0,0,0
2024-10-01,57,21,2,0,0,0,0
2024-10-02,67,26,1,0,0,0,0
2024-10-08,39,6,3,0,0,0,0
2024-10-10,53,21,1,0,0,0,0
2024-10-16,102,28,2,0,0,0,0
2024-10-15,339,264,4,0,0,0,0
2024-10-17,82,48,2,0,0,0,0
2024-10-18,48,19,0,0,0,0,0
2024-10-24,67,28,6,0,0,0,0
2024-10-25,56,41,2,0,0,0,0
2024-10-29,61,15,2,0,0,0,0
2024-10-30,54,19,2,0,0,0,0
2024-11-04,60,20,2,0,0,0,0
2025-06-26,39,6,3,0,0,0,0
2024-11-05,62,34,1,0,0,0,0
2024-11-06,148,100,0,0,2,0,2
2024-11-08,64,31,3,0,0,0,0
2024-11-10,32,20,1,0,0,0,0
2024-11-12,42,12,1,0,0,0,0
2024-11-14,106,60,0,0,0,0,0
2024-12-06,46,23,1,0,0,0,0
2024-11-18,63,24,3,0,1,0,0
2024-11-20,55,20,0,0,0,0,0
2024-11-22,38,10,2,0,0,0,0
2024-11-23,26,13,0,0,0,0,0
2024-11-25,62,27,2,0,0,0,0
2024-11-27,82,50,2,0,0,0,0
2024-11-29,27,11,2,0,0,0,0
2024-12-01,16,3,0,0,0,0,0
2024-12-02,44,21,2,0,0,0,0
2024-12-03,101,66,2,0,0,0,0
2024-12-04,72,34,5,0,1,0,0
2024-12-05,67,31,3,0,0,0,0
2024-12-10,121,80,1,0,0,0,0
2024-12-11,75,39,5,0,0,0,0
2024-12-13,42,24,2,0,0,0,0
2024-12-15,34,11,1,0,0,0,0
2024-12-16,86,19,3,0,0,0,22
2024-12-18,60,31,2,0,0,0,0
2024-12-22,23,12,1,0,0,0,0
2024-12-26,29,14,3,0,0,0,0
2024-12-29,19,7,0,0,0,0,0
2024-12-31,24,18,1,0,0,0,0
2025-01-04,16,4,0,0,0,0,0
2025-01-05,15,5,2,0,0,0,0
2025-01-08,96,49,6,0,0,0,0
2025-05-21,27,8,3,0,0,0,0
2025-01-11,27,19,0,0,0,0,0
2025-01-13,130,91,3,0,0,0,0
2025-01-16,98,63,3,0,0,0,0
2025-01-17,45,25,1,0,0,0,0
2025-01-24,81,34,0,0,0,0,1
2025-01-21,42,2,3,0,2,0,0
2025-01-23,73,38,6,0,2,0,2
2025-01-25,41,19,0,0,0,0,1
2025-01-26,38,17,0,0,0,0,0
