date,week,year,mql_count
2019-09-16,37,2019,10
2019-09-21,37,2019,7
2019-09-23,38,2019,13
2019-10-06,40,2019,8
2019-10-15,41,2019,13
2019-10-17,41,2019,15
2019-10-21,42,2019,11
2019-10-24,42,2019,15
2019-10-29,43,2019,13
2019-11-05,44,2019,15
2017-09-02,35,2017,1
2017-09-27,39,2017,2
2017-10-06,40,2017,3
2018-01-27,3,2018,1
2018-03-08,9,2018,10
2018-03-11,10,2018,2
2018-03-19,11,2018,2
2018-03-28,12,2018,5
2018-03-31,12,2018,1
2018-04-02,13,2018,4
2018-04-09,14,2018,2
2018-04-16,15,2018,4
2018-04-22,16,2018,2
2018-05-22,20,2018,4
2018-06-04,22,2018,1
2018-06-12,23,2018,10
2018-06-18,24,2018,5
2017-07-28,30,2017,7
2017-10-14,41,2017,1
2018-02-15,6,2018,4
2021-06-21,25,2021,63
2018-02-20,7,2018,4
2018-03-29,12,2018,4
2018-04-03,13,2018,6
2018-04-06,13,2018,3
2016-11-03,44,2016,1
2021-03-17,11,2021,18
2019-09-09,36,2019,24
2025-02-05,5,2025,89
2025-02-17,7,2025,29
2021-06-16,24,2021,102
2021-08-17,33,2021,169
2021-08-27,34,2021,41
2022-09-15,37,2022,150
2024-09-17,37,2024,82
2023-03-10,10,2023,82
2023-04-19,16,2023,84
2023-09-12,37,2023,67
2023-10-04,40,2023,76
2023-11-20,47,2023,68
2023-11-28,48,2023,225
2024-01-08,1,2024,133
2024-01-09,1,2024,87
2024-01-11,1,2024,60
2024-01-23,3,2024,57
2024-01-29,4,2024,78
2024-01-30,4,2024,59
2024-01-31,4,2024,45
2024-02-01,4,2024,62
2024-02-02,4,2024,51
2024-02-03,4,2024,24
2024-02-06,5,2024,56
2024-02-07,5,2024,55
2024-02-12,6,2024,95
2024-02-13,6,2024,49
2024-02-15,6,2024,89
2024-02-25,8,2024,25
2024-02-28,8,2024,125
2024-02-29,8,2024,70
2024-03-04,9,2024,95
2024-03-08,9,2024,41
2024-03-11,10,2024,96
2024-03-12,10,2024,46
2024-03-13,10,2024,72
2024-03-15,10,2024,84
2024-03-17,11,2024,33
2024-03-19,11,2024,61
2024-03-20,11,2024,63
2024-03-21,11,2024,74
2024-03-24,12,2024,37
2024-03-25,12,2024,61
2024-03-26,12,2024,78
2024-03-29,12,2024,61
2024-03-30,12,2024,36
2024-03-31,13,2024,29
2024-04-01,13,2024,64
2024-04-02,13,2024,49
2024-04-04,13,2024,56
2024-04-05,13,2024,143
2024-04-07,14,2024,31
2024-04-09,14,2024,93
2024-04-10,14,2024,72
2024-04-12,14,2024,60
2024-04-14,15,2024,30
2024-04-15,15,2024,116
2024-04-17,15,2024,50
2024-04-18,15,2024,108
2024-04-19,15,2024,56
2024-04-20,15,2024,29
2024-04-21,16,2024,29
2024-10-06,40,2024,29
2024-04-27,16,2024,27
2024-04-28,17,2024,28
2024-04-29,17,2024,58
2024-05-02,17,2024,60
2024-05-06,18,2024,65
2024-05-07,18,2024,163
2024-05-08,18,2024,85
2024-05-09,18,2024,91
2024-05-10,18,2024,47
2024-05-11,18,2024,18
2024-05-13,19,2024,68
2024-05-15,19,2024,57
2024-05-16,19,2024,95
2024-10-07,40,2024,52
2024-05-17,19,2024,50
2024-05-19,20,2024,22
2024-05-20,20,2024,96
2024-05-21,20,2024,77
2024-05-24,20,2024,36
2024-05-26,21,2024,20
2024-05-28,21,2024,68
2024-05-29,21,2024,52
2024-05-30,21,2024,49
2024-05-31,21,2024,43
2024-06-02,22,2024,25
2024-06-05,22,2024,49
2024-06-06,22,2024,56
2024-11-21,46,2024,152
2024-06-10,23,2024,38
2024-06-18,24,2024,71
2024-06-19,24,2024,98
2024-06-20,24,2024,69
2024-06-22,24,2024,22
2024-06-23,25,2024,25
2024-06-25,25,2024,108
2024-11-19,46,2024,43
2024-07-04,26,2024,27
2024-07-08,27,2024,69
2024-07-09,27,2024,186
2024-07-11,27,2024,48
2024-07-13,27,2024,18
2024-11-26,47,2024,56
2024-07-18,28,2024,57
2024-07-20,28,2024,20
2024-07-22,29,2024,89
2024-07-25,29,2024,57
2024-07-28,30,2024,26
2024-07-30,30,2024,91
2024-08-01,30,2024,66
2024-08-05,31,2024,64
