Email Name,Sent,Delivered,% Delivered,Hard Bounced,Soft Bounced,Pending,Opened,% Opened,Clicked Email,% Clicked Email,Clicked to Opened Ratio,Unsubscribed,% Unsubscribed,First Activity (PDT),Last Activity (PDT),Include,days_between
Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25).Email 19 - (clock emoji) Tick-tock! 12 days left to book your iPX hotel,493,486,98.60%,5,2,0,276,56.80%,48,9.90%,17.40%,0,0.00%,"May 8, 2025 11:00 AM","Jun 6, 2025 11:08 AM",1,29
Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25).Email 20 - Download the iPX25 app!,447,444,99.30%,0,3,0,327,73.60%,215,48.40%,65.70%,0,0.00%,"May 14, 2025 11:00 AM","Jun 6, 2025 7:18 AM",1,23
Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25).Email 21 - Fake forward: Earn rewards by inviting your friends to iPX25,488,488,100.00%,0,0,0,302,61.90%,13,2.70%,4.30%,0,0.00%,"May 20, 2025 9:00 AM","Jun 6, 2025 2:57 AM",1,17
"Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25).Email 22 - (first name), ready to make iPX your most valuable event yet?",565,564,99.80%,0,1,0,376,66.70%,126,22.30%,33.50%,2,0.40%,"May 27, 2025 12:01 PM","Jun 6, 2025 9:58 AM",1,10
Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25).Email 23 - Get ready for iPX: Essential planning tips for the best experience,607,605,99.70%,0,2,0,396,65.50%,75,12.40%,18.90%,0,0.00%,"Jun 2, 2025 9:00 AM","Jun 6, 2025 11:58 AM",1,4
Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25).Email 24 - iPX25 Day 1: Doors open Monday at 1:00pm in Austin,651,651,100.00%,0,0,0,425,65.30%,51,7.80%,12.00%,0,0.00%,"Jun 5, 2025 9:00 AM","Jun 6, 2025 11:55 AM",1,1
Event-Hosted | PC - 20230926 | impact Seattle VIP Dinner.Email 1 - You’re invited: Join us for dinner at Canlis,296,254,85.80%,30,12,0,84,33.10%,41,16.10%,48.80%,0,0.00%,"Oct 2, 2023 9:00 AM","Jan 23, 2024 11:52 PM",1,114
"Event-Hosted | PC - 20230926 | impact Seattle VIP Dinner.Email 2 - FWD: (first name), You’re invited: Join us for dinner at Canlis",217,198,91.20%,4,15,0,44,22.20%,8,4.00%,18.20%,0,0.00%,"Oct 6, 2023 9:00 AM","Oct 18, 2023 10:41 AM",1,12
"Event-Hosted | PC - 20230926 | impact Seattle VIP Dinner.Email 3 - FWD FWD: (first name), You’re invited: Join us for dinner at Canlis",213,193,90.60%,4,16,0,38,19.70%,6,3.10%,15.80%,0,0.00%,"Oct 12, 2023 9:00 AM","Apr 11, 2024 2:23 AM",1,182
Event-Hosted | PC - 20231005 | Impact Insights SEA Creator Economy (Jakarta).Email 1 -[Exclusive impact.com Event Invite] Impact Insights: Creator Economy 2023 - Jakarta,40,39,97.50%,1,0,0,21,53.80%,5,12.80%,23.80%,0,0.00%,"Sep 7, 2023 11:00 PM","Feb 29, 2024 12:41 AM",0,174
Event-Hosted | PC - 20231005 | Impact Insights SEA Creator Economy (Jakarta).Email 2 -Have you registered for Impact Insights: Creator Economy 2023 - Jakarta?,27,27,100.00%,0,0,0,13,48.10%,0,0.00%,,0,0.00%,"Sep 19, 2023 11:00 PM","Sep 25, 2023 12:19 AM",0,5
Event-Hosted | PC - 20231005 | Impact Insights SEA Creator Economy (Jakarta).Email 3 -One week to go till Impact Insights: SEA Creator Economy - Jakarta!,31,30,96.80%,1,0,0,9,30.00%,1,3.30%,11.10%,0,0.00%,"Sep 27, 2023 11:00 PM","Oct 4, 2023 10:36 PM",0,7
Event-Hosted | PC - 20231005 | Impact Insights SEA Creator Economy (Jakarta).Email 4 -One day to go! See you at Impact Insights: SEA Creator Economy - Jakarta!,44,41,93.20%,2,1,0,26,63.40%,6,14.60%,23.10%,0,0.00%,"Oct 3, 2023 6:00 PM","Oct 5, 2023 2:50 AM",0,1
Event-Hosted | PC - 20231019 | Impact Insights SEA Creator Economy (Singapore).Email 1 - [Exclusive impact.com Event Invite] Impact Insights: SEA Creator Economy 2023 - Singapore,41,39,95.10%,2,0,0,17,43.60%,6,15.40%,35.30%,0,0.00%,"Sep 19, 2023 11:00 PM","Oct 9, 2023 6:52 PM",0,20
Event-Hosted | PC - 20231019 | Impact Insights SEA Creator Economy (Singapore).Email 2 -Have you registered for Impact Insights: SEA Creator Economy 2023 - Singapore?,25,23,92.00%,2,0,0,6,26.10%,2,8.70%,33.30%,0,0.00%,"Oct 1, 2023 6:00 PM","Oct 13, 2023 1:04 AM",0,11
